Sl. No.,Year/State/UT,2018-19,2019-20,2020-21,2021-22,"2022-23 (upto September, 2022)"
1,Andaman and Nicobar Islands,74,1259,1464,613,310
2,Andhra Pradesh,62475,105667,66404,13199,5772
3,Arunachal Pradesh,4545,15700,51991,8884,532
4,Assam,49854,198896,362506,24517,8375
5,Bihar,84574,191902,96438,47493,11926
6,Chandigarh,5198,9507,3834,893,440
7,Chhattisgarh,42360,46548,16151,9495,4289
8,Delhi,81488,146205,55121,19965,2012
9,Goa,1751,4300,1709,604,134
10,Gujarat,83956,155195,48489,35001,6376
11,Haryana,115364,175386,54749,18161,8634
12,Himachal Pradesh,32048,48870,15612,8724,3287
13,Jammu and Kashmir,35455,122659,58927,21339,7183
14,Jharkhand,36487,120103,15452,34113,5172
15,Karnataka,110111,165247,53066,23153,7606
16,Kerala,35973,78523,31077,12968,5511
17,Ladakh,149,1937,181,731,246
18,Lakshadweep,NA,60,90,120,NA
19,Madhya Pradesh,154478,223483,95433,46629,21219
20,Maharashtra,165352,637002,148352,39864,14587
21,Manipur,4430,28962,34540,6424,1146
22,Meghalaya,7117,11999,17769,3406,1205
23,Mizoram,3062,10837,11433,4742,1147
24,Nagaland,1422,17364,14399,4184,1733
25,Odisha,89011,239050,68828,12645,11137
26,Puducherry,6317,7172,3241,1622,689
27,Punjab,63732,97681,57054,18539,7176
28,Rajasthan,138923,446900,98349,37984,9156
29,Sikkim,1932,5123,3634,1322,305
30,Tamil Nadu,123422,185108,72404,29057,7869
31,Telangana,57648,108145,33999,13107,7968
32,The Dadra and Nagar Haveli and Daman and Diu,3377,5338,222,252,NA
33,Tripura,7549,50388,46676,4490,1343
34,Uttar Pradesh,303099,656829,239389,68912,24410
35,Uttarakhand,46864,68250,29412,10522,2840
36,West Bengal,80609,177880,53221,31406,12225
Grand Total,Grand Total,2040206,4565475,1961616,615080,203960
